"LOCATION","Country","VARIABLE","Variable","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"PRT","Portugal","GAP","Output gap as a percentage of potential GDP","A","Annual","2000","2000","PC","Percentage","0","Units",,,5.39117432081262,,
"PRT","Portugal","GAP","Output gap as a percentage of potential GDP","A","Annual","2001","2001","PC","Percentage","0","Units",,,4.4383460597833,,
"PRT","Portugal","GAP","Output gap as a percentage of potential GDP","A","Annual","2002","2002","PC","Percentage","0","Units",,,2.7434610310052,,
"PRT","Portugal","GAP","Output gap as a percentage of potential GDP","A","Annual","2003","2003","PC","Percentage","0","Units",,,-0.051026477436289,,
"PRT","Portugal","GAP","Output gap as a percentage of potential GDP","A","Annual","2004","2004","PC","Percentage","0","Units",,,0.216933396153318,,
"PRT","Portugal","GAP","Output gap as a percentage of potential GDP","A","Annual","2005","2005","PC","Percentage","0","Units",,,-0.273640649521611,,
"PRT","Portugal","GAP","Output gap as a percentage of potential GDP","A","Annual","2006","2006","PC","Percentage","0","Units",,,0.234776800525327,,
"PRT","Portugal","GAP","Output gap as a percentage of potential GDP","A","Annual","2007","2007","PC","Percentage","0","Units",,,1.74759373010125,,
"PRT","Portugal","GAP","Output gap as a percentage of potential GDP","A","Annual","2008","2008","PC","Percentage","0","Units",,,1.1312949847762,,
"PRT","Portugal","GAP","Output gap as a percentage of potential GDP","A","Annual","2009","2009","PC","Percentage","0","Units",,,-2.60169065613648,,
"PRT","Portugal","GAP","Output gap as a percentage of potential GDP","A","Annual","2010","2010","PC","Percentage","0","Units",,,-1.29228584919647,,
"PRT","Portugal","GAP","Output gap as a percentage of potential GDP","A","Annual","2011","2011","PC","Percentage","0","Units",,,-3.11336306927083,,
"PRT","Portugal","GAP","Output gap as a percentage of potential GDP","A","Annual","2012","2012","PC","Percentage","0","Units",,,-6.85691042739609,,
"PRT","Portugal","GAP","Output gap as a percentage of potential GDP","A","Annual","2013","2013","PC","Percentage","0","Units",,,-7.51160198111884,,
"PRT","Portugal","GAP","Output gap as a percentage of potential GDP","A","Annual","2014","2014","PC","Percentage","0","Units",,,-6.84679821806561,,
"PRT","Portugal","GAP","Output gap as a percentage of potential GDP","A","Annual","2015","2015","PC","Percentage","0","Units",,,-5.55018566750891,,
"PRT","Portugal","GAP","Output gap as a percentage of potential GDP","A","Annual","2016","2016","PC","Percentage","0","Units",,,-4.22295143315656,,
"PRT","Portugal","GAP","Output gap as a percentage of potential GDP","A","Annual","2017","2017","PC","Percentage","0","Units",,,-2.10924880678258,,
"PRT","Portugal","GAP","Output gap as a percentage of potential GDP","A","Annual","2018","2018","PC","Percentage","0","Units",,,-0.712321351755441,,
"PRT","Portugal","GAP","Output gap as a percentage of potential GDP","A","Annual","2019","2019","PC","Percentage","0","Units",,,0.0286618550477957,,
"PRT","Portugal","GAP","Output gap as a percentage of potential GDP","A","Annual","2020","2020","PC","Percentage","0","Units",,,-9.4848534359084,,
"PRT","Portugal","GAP","Output gap as a percentage of potential GDP","A","Annual","2021","2021","PC","Percentage","0","Units",,,-8.87861262609113,,
