"LOCATION","Country","VARIABLE","Variable","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"PRT","Portugal","UNR","Unemployment rate","A","Annual","2000","2000","PC","Percentage","0","Units",,,4.02790932325602,,
"PRT","Portugal","UNR","Unemployment rate","A","Annual","2001","2001","PC","Percentage","0","Units",,,4.00947148726684,,
"PRT","Portugal","UNR","Unemployment rate","A","Annual","2002","2002","PC","Percentage","0","Units",,,4.9951286183284,,
"PRT","Portugal","UNR","Unemployment rate","A","Annual","2003","2003","PC","Percentage","0","Units",,,6.26400371745502,,
"PRT","Portugal","UNR","Unemployment rate","A","Annual","2004","2004","PC","Percentage","0","Units",,,6.62285859214682,,
"PRT","Portugal","UNR","Unemployment rate","A","Annual","2005","2005","PC","Percentage","0","Units",,,7.58184714542054,,
"PRT","Portugal","UNR","Unemployment rate","A","Annual","2006","2006","PC","Percentage","0","Units",,,7.64733959133582,,
"PRT","Portugal","UNR","Unemployment rate","A","Annual","2007","2007","PC","Percentage","0","Units",,,7.96381807830986,,
"PRT","Portugal","UNR","Unemployment rate","A","Annual","2008","2008","PC","Percentage","0","Units",,,7.55207039384229,,
"PRT","Portugal","UNR","Unemployment rate","A","Annual","2009","2009","PC","Percentage","0","Units",,,9.43160638525722,,
"PRT","Portugal","UNR","Unemployment rate","A","Annual","2010","2010","PC","Percentage","0","Units",,,10.7702186377153,,
"PRT","Portugal","UNR","Unemployment rate","A","Annual","2011","2011","PC","Percentage","0","Units",,,12.6771979919864,,
"PRT","Portugal","UNR","Unemployment rate","A","Annual","2012","2012","PC","Percentage","0","Units",,,15.5264184594805,,
"PRT","Portugal","UNR","Unemployment rate","A","Annual","2013","2013","PC","Percentage","0","Units",,,16.1833440563145,,
"PRT","Portugal","UNR","Unemployment rate","A","Annual","2014","2014","PC","Percentage","0","Units",,,13.8936863407375,,
"PRT","Portugal","UNR","Unemployment rate","A","Annual","2015","2015","PC","Percentage","0","Units",,,12.4442391257272,,
"PRT","Portugal","UNR","Unemployment rate","A","Annual","2016","2016","PC","Percentage","0","Units",,,11.0664265609686,,
"PRT","Portugal","UNR","Unemployment rate","A","Annual","2017","2017","PC","Percentage","0","Units",,,8.86735607849524,,
"PRT","Portugal","UNR","Unemployment rate","A","Annual","2018","2018","PC","Percentage","0","Units",,,6.9936551618698,,
"PRT","Portugal","UNR","Unemployment rate","A","Annual","2019","2019","PC","Percentage","0","Units",,,6.46305127879092,,
"PRT","Portugal","UNR","Unemployment rate","A","Annual","2020","2020","PC","Percentage","0","Units",,,7.31867261313626,,
"PRT","Portugal","UNR","Unemployment rate","A","Annual","2021","2021","PC","Percentage","0","Units",,,9.51438160075741,,
